[0.0, 1.0, 1.0, 1.0, 1.0, 1.0]	186378.058603
[0.25, 1.0, 1.0, 1.0, 1.0, 1.0]	188932.335462
[0.5, 1.0, 1.0, 1.0, 1.0, 1.0]	186176.759955
[2.0, 1.0, 1.0, 1.0, 1.0, 1.0]	179420.494365
[4.0, 1.0, 1.0, 1.0, 1.0, 1.0]	187420.536814
[1.0, 0.0, 1.0, 1.0, 1.0, 1.0]	143137.369647
[1.0, 0.25, 1.0, 1.0, 1.0, 1.0]	151709.548835
[1.0, 0.5, 1.0, 1.0, 1.0, 1.0]	165353.288881
[1.0, 2.0, 1.0, 1.0, 1.0, 1.0]	155170.448911
[1.0, 4.0, 1.0, 1.0, 1.0, 1.0]	145324.327949
[1.0, 1.0, 0.0, 1.0, 1.0, 1.0]	176738.808039
[1.0, 1.0, 0.25, 1.0, 1.0, 1.0]	160588.798648
[1.0, 1.0, 0.5, 1.0, 1.0, 1.0]	167411.336213
[1.0, 1.0, 2.0, 1.0, 1.0, 1.0]	165988.015402
[1.0, 1.0, 4.0, 1.0, 1.0, 1.0]	156614.406086
[1.0, 1.0, 1.0, 0.0, 1.0, 1.0]	144036.24305
[1.0, 1.0, 1.0, 0.25, 1.0, 1.0]	155482.916228
[1.0, 1.0, 1.0, 0.5, 1.0, 1.0]	188867.032682
[1.0, 1.0, 1.0, 2.0, 1.0, 1.0]	189748.481593
[1.0, 1.0, 1.0, 4.0, 1.0, 1.0]	205726.16003
[1.0, 1.0, 1.0, 1.0, 0.0, 1.0]	143055.091285
[1.0, 1.0, 1.0, 1.0, 0.25, 1.0]	140176.601803
[1.0, 1.0, 1.0, 1.0, 0.5, 1.0]	154373.366266
[1.0, 1.0, 1.0, 1.0, 2.0, 1.0]	168101.256574
[1.0, 1.0, 1.0, 1.0, 4.0, 1.0]	143598.926371
[1.0, 1.0, 1.0, 1.0, 1.0, 0.0]	160573.863261
[1.0, 1.0, 1.0, 1.0, 1.0, 0.25]	164400.453043
[1.0, 1.0, 1.0, 1.0, 1.0, 0.5]	168150.032307
[1.0, 1.0, 1.0, 1.0, 1.0, 2.0]	175443.178062
[1.0, 1.0, 1.0, 1.0, 1.0, 4.0]	166246.974831
[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]	168343.654771
